Year,Month,Day,Hour,Minute,Second,Latitude (WGS84),Longitude (WGS84),Depth [km],Magnitude [ML],ML Standard Deviation,Magnitude [MA],MA Standard Deviation,Identifier
2007,1,1,2,41,13.28,-21.65559,-68.41471,121.33,2.345,0.02,2.394,0.029,ID
2007,1,1,2,47,7.83,-20.54848,-69.05857,102.79,1.114,0.033,1.305,0.031,ID
2007,1,1,3,50,29.15,-21.86299,-68.53639,110.95,2.779,0.031,2.917,0.031,ID
2007,1,1,4,19,27.82,-20.29515,-69.13106,95.79,1.401,0.017,1.571,0.023,ID
2007,1,1,5,40,2.58,-21.23847,-70.05151,34.64,1.995,0.022,2.222,0.018,UP
2007,1,1,5,52,18.34,-21.81947,-68.68601,106.65,2.053,0.022,2.162,0.02,ID
2007,1,1,5,55,30.73,-21.52831,-69.56314,56.78,1.144,0.022,1.401,0.026,UP
2007,1,1,6,22,52.13,-22.29284,-68.86361,120.28,2.248,0.032,2.268,0.03,ID
2007,1,1,6,52,0.79,-20.48489,-68.92768,99.12,1.381,0.016,1.561,0.016,ID
2007,1,1,7,27,2.23,-20.7482,-69.32454,87.02,1.256,0.033,1.466,0.031,ID
2007,1,1,11,11,46.61,-19.92601,-69.16119,103.3,2.145,0.024,2.296,0.022,ID
2007,1,1,11,39,56.23,-20.21455,-69.06602,101.12,1.365,0.012,1.513,0.014,ID
2007,1,1,13,28,27.76,-21.07546,-68.13521,141.74,2.592,0.027,2.585,0.029,ID
2007,1,1,13,51,13.99,-21.05603,-68.91422,113.24,1.332,0.041,1.431,0.038,ID
2007,1,1,14,7,41.33,-20.19024,-70.47746,42.68,1.511,0.05,1.77,0.043,P2
2007,1,1,17,0,35.48,-20.96675,-68.77356,6.46,1.437,0.016,1.628,0.016,MI
2007,1,1,17,21,31.12,-21.00206,-68.82029,4.77,1.704,0.031,1.939,0.031,MI
2007,1,1,17,32,13.06,-20.03404,-69.24281,8.44,1.833,0.02,2.076,0.017,MI
2007,1,1,19,18,54.98,-20.87787,-69.13158,109.27,2.584,0.028,2.705,0.027,ID
2007,1,1,19,39,2.0,-19.90633,-69.19663,97.8,2.206,0.032,2.359,0.031,ID
2007,1,1,20,4,14.24,-20.85975,-69.1578,96.8,2.066,0.039,2.217,0.044,ID
2007,1,1,21,11,10.04,-21.63074,-68.43885,112.86,2.781,0.021,2.879,0.023,ID
2007,1,2,1,17,23.13,-20.861,-69.16112,100.7,1.925,0.034,2.054,0.029,ID
2007,1,2,2,35,17.3,-20.00083,-69.18503,96.95,2.649,0.023,2.826,0.017,ID
2007,1,2,3,24,43.73,-20.47811,-69.8288,84.4,1.021,0.018,1.239,0.02,P3
2007,1,2,5,10,19.88,-19.98292,-69.2093,95.64,1.546,0.026,1.732,0.026,ID
2007,1,2,5,38,23.85,-19.93855,-69.16641,101.68,1.386,0.015,1.543,0.01,ID
2007,1,2,5,48,36.48,-21.12302,-68.49404,138.43,3.229,0.025,3.239,0.027,ID
2007,1,2,5,57,3.56,-20.53301,-68.95738,94.61,1.009,0.027,1.233,0.026,ID
2007,1,2,6,19,33.68,-21.45439,-68.79883,96.05,1.949,0.031,2.135,0.026,ID
2007,1,2,7,43,14.37,-21.41891,-68.35708,134.97,2.628,0.021,2.631,0.023,ID
2007,1,2,8,21,24.52,-20.52727,-69.05671,105.72,1.509,0.017,1.642,0.019,ID
2007,1,2,11,59,14.03,-20.59272,-69.16331,111.82,1.637,0.023,1.738,0.028,ID
2007,1,2,12,51,10.85,-20.01641,-69.17347,99.7,1.24,0.03,1.404,0.035,ID
2007,1,2,12,53,17.64,-21.89217,-68.58023,110.11,2.097,0.051,2.194,0.043,ID
2007,1,2,21,23,36.28,-19.78401,-69.14469,106.09,2.621,0.024,2.72,0.048,ID
2007,1,2,21,39,36.76,-21.13805,-68.89959,106.07,1.798,0.014,1.899,0.022,ID
2007,1,2,22,3,34.82,-20.72536,-67.99874,174.36,2.427,0.019,2.407,0.021,NN
2007,1,3,1,10,23.75,-20.52842,-70.48807,28.93,1.037,0.034,1.265,0.028,P1
2007,1,3,1,35,44.22,-21.14162,-68.76067,113.63,1.538,0.021,1.664,0.017,ID
2007,1,3,1,51,12.99,-20.02406,-69.19589,99.07,1.238,0.023,1.411,0.025,ID
2007,1,3,3,1,56.04,-21.84312,-68.43713,104.61,1.328,0.027,1.49,0.022,ID
2007,1,3,3,17,10.65,-19.82469,-69.20448,104.4,1.509,0.023,1.658,0.019,ID
2007,1,3,3,20,42.73,-20.75669,-69.73074,61.2,0.91,0.025,1.199,0.025,P1
2007,1,3,3,32,5.77,-21.2362,-68.69467,117.48,2.407,0.017,2.465,0.02,ID
2007,1,3,3,55,42.08,-20.55582,-69.21108,88.12,1.547,0.025,1.731,0.029,ID
2007,1,3,5,19,31.08,-22.18743,-68.453,120.4,2.658,0.027,2.716,0.027,ID
2007,1,3,6,20,44.6,-19.84202,-69.01892,106.17,3.064,0.048,3.234,0.05,ID
2007,1,3,6,32,51.26,-21.10185,-68.92885,110.48,1.551,0.011,1.663,0.01,ID
2007,1,3,7,29,6.21,-19.77734,-69.1558,98.03,2.046,0.029,2.207,0.025,ID
2007,1,3,8,4,46.43,-21.84506,-68.38057,133.62,2.43,0.019,2.426,0.023,ID
2007,1,3,10,42,3.89,-21.68854,-68.70043,124.43,2.105,0.011,2.157,0.011,ID
2007,1,3,10,49,37.32,-20.49198,-68.78936,109.24,1.238,0.038,1.398,0.033,ID
2007,1,3,11,5,23.39,-20.2699,-69.24753,86.68,1.079,0.02,1.309,0.022,ID
2007,1,3,11,17,30.97,-21.83278,-68.68531,106.83,2.107,0.021,2.232,0.026,ID
2007,1,3,12,33,52.9,-20.76384,-69.08657,106.25,2.287,0.024,2.39,0.025,ID
2007,1,3,13,25,37.57,-21.28543,-68.71766,117.87,2.217,0.024,2.307,0.028,ID
2007,1,3,13,37,52.66,-21.36974,-68.71057,102.0,1.309,0.026,1.485,0.024,ID
2007,1,3,15,44,31.23,-20.98417,-68.85387,3.76,1.371,0.015,1.512,0.013,MI
2007,1,3,17,19,0.52,-20.9685,-68.70245,1.01,1.641,0.027,1.811,0.028,MI
2007,1,3,18,12,40.72,-20.90728,-69.08891,107.4,1.525,0.017,1.637,0.02,ID
2007,1,3,18,48,49.22,-21.077,-68.48091,119.82,2.257,0.029,2.318,0.022,ID
2007,1,3,19,38,26.44,-20.86658,-70.02093,10.21,1.521,0.02,1.741,0.024,MI
2007,1,3,20,54,47.56,-20.80801,-69.1571,105.51,1.693,0.029,1.836,0.025,ID
2007,1,3,21,37,44.0,-20.89053,-69.97721,79.62,1.39,0.045,1.639,0.049,P3
2007,1,3,23,6,41.48,-21.56273,-68.66645,97.31,1.563,0.017,1.716,0.014,ID
2007,1,3,23,16,34.06,-20.70364,-69.12128,95.73,1.206,0.016,1.39,0.011,ID
2007,1,3,23,56,57.64,-19.38274,-69.32558,87.81,1.885,0.037,2.099,0.034,ID
2007,1,4,0,34,38.89,-22.3558,-70.383,60.51,3.302,0.018,3.632,0.015,P3
2007,1,4,0,55,59.8,-20.13661,-69.18965,94.11,1.596,0.018,1.76,0.02,ID
2007,1,4,1,1,13.65,-21.09223,-68.67524,102.2,2.38,0.027,2.515,0.036,ID
2007,1,4,1,54,37.47,-21.37822,-68.65738,106.95,1.442,0.019,1.602,0.022,ID
2007,1,4,2,5,15.37,-21.05483,-68.96876,114.82,1.506,0.017,1.604,0.018,ID
2007,1,4,2,26,39.58,-19.92674,-69.52587,104.33,2.037,0.025,2.141,0.022,ID
2007,1,4,2,51,21.74,-21.79939,-68.35863,113.03,2.24,0.035,2.344,0.036,ID
2007,1,4,2,54,38.81,-19.51805,-69.45729,105.79,4.073,0.029,4.303,0.037,ID
2007,1,4,3,19,5.71,-19.97458,-69.2026,92.12,1.044,0.044,1.262,0.033,ID
2007,1,4,4,56,32.95,-20.84341,-69.07288,97.6,1.564,0.02,1.712,0.018,ID
2007,1,4,5,20,57.28,-20.97616,-69.99722,42.58,1.024,0.051,1.294,0.046,UP
2007,1,4,5,47,53.88,-21.15263,-69.70209,12.9,2.112,0.039,2.25,0.032,UP
2007,1,4,6,54,59.21,-20.25459,-69.23447,87.5,1.5,0.021,1.691,0.021,ID
2007,1,4,7,10,49.18,-21.02436,-68.46863,138.3,2.319,0.028,2.328,0.03,ID
2007,1,4,7,22,0.93,-20.21811,-69.19477,96.74,2.697,0.022,2.88,0.027,ID
2007,1,4,8,15,46.26,-21.22352,-68.70125,121.36,2.431,0.026,2.479,0.031,ID
2007,1,4,9,51,53.14,-21.52403,-69.56734,12.25,1.832,0.06,1.909,0.052,UP
2007,1,4,10,24,57.79,-20.86389,-69.09464,108.07,1.236,0.026,1.381,0.025,ID
2007,1,4,11,23,47.77,-21.69478,-68.46685,142.26,2.446,0.028,2.428,0.03,ID
2007,1,4,12,23,18.5,-20.05484,-69.19867,96.02,1.46,0.017,1.636,0.022,ID
2007,1,4,12,27,32.32,-21.08095,-68.91105,108.36,1.645,0.03,1.762,0.028,ID
2007,1,4,13,16,14.77,-22.16396,-68.39094,144.0,2.663,0.024,2.618,0.033,ID
2007,1,4,14,11,2.94,-20.48167,-68.82372,112.5,2.085,0.036,2.186,0.031,ID
2007,1,4,16,17,23.18,-21.19395,-70.29106,37.18,1.127,0.036,1.377,0.031,P1
2007,1,4,17,37,1.92,-20.95673,-68.82334,7.72,1.723,0.023,1.934,0.026,MI
2007,1,4,18,18,38.64,-20.45462,-69.22601,111.45,2.089,0.029,2.16,0.038,ID
2007,1,4,18,33,52.8,-21.21211,-69.74615,52.09,1.853,0.018,2.105,0.017,UP
2007,1,4,19,57,58.0,-20.80354,-69.13962,107.53,2.069,0.018,2.162,0.018,ID
2007,1,4,22,13,29.38,-20.89498,-68.96607,86.78,1.298,0.027,1.518,0.033,ID
2007,1,4,23,26,18.72,-21.37376,-70.50201,35.33,1.343,0.015,1.584,0.015,P2
2007,1,5,1,12,35.59,-19.37628,-69.38602,101.16,1.702,0.032,1.857,0.038,ID
2007,1,5,4,1,24.17,-21.50386,-68.61891,107.61,1.825,0.018,1.954,0.017,ID
2007,1,5,4,10,6.16,-20.81621,-69.18068,106.48,1.119,0.055,1.292,0.073,ID
2007,1,5,5,19,9.51,-21.1467,-68.83538,106.36,1.554,0.019,1.692,0.015,ID
2007,1,5,6,8,51.07,-21.26621,-68.74721,114.67,1.601,0.027,1.699,0.024,ID
2007,1,5,6,22,37.09,-21.44288,-70.56826,51.09,1.341,0.021,1.611,0.028,P3
2007,1,5,8,22,40.56,-19.92122,-69.21531,90.17,0.982,0.049,1.226,0.047,ID
2007,1,5,9,40,19.63,-20.08193,-69.17583,90.99,2.049,0.027,2.231,0.025,ID
2007,1,5,10,1,32.75,-22.18211,-68.86759,102.14,1.55,0.035,1.691,0.037,ID
2007,1,5,10,57,19.25,-21.58498,-68.44561,130.03,2.631,0.038,2.642,0.038,ID
2007,1,5,11,22,55.36,-21.30319,-68.2976,135.19,2.015,0.019,2.021,0.019,ID
2007,1,5,12,31,55.78,-21.02627,-68.43961,125.48,2.142,0.023,2.158,0.029,ID
2007,1,5,14,40,36.86,-19.94717,-69.2009,98.35,2.357,0.021,2.499,0.027,ID
2007,1,5,15,21,41.56,-20.83953,-68.96868,114.11,2.969,0.032,3.066,0.031,ID
